code,chapter_code,chapter_name,description,unit,labor_unit_price,material_unit_price,total_unit_price,source_page
AB12BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente hiperestático, primeros 100 m2",m2,,,212.38,1
AB12BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente hiperestático, de 101 a 500 m2",m2,,,159.17,1
AB12BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente hiperestático, de 501 a 1000 m2",m2,,,105.89,1
AB12BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente hiperestático, de 1001 a 5000 m2",m2,,,52.65,1
AB12CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente isostático, primeros 100 m2",m2,,,169.96,1
AB12CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente isostático, de 101 a 500 m2",m2,,,127.48,1
AB12CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente isostático, de 501 a 1000 m2",m2,,,84.98,1
AB12CE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de la zona transparente de puente isostático, de 1001 a 5000 m2",m2,,,42.56,1
AB14BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de terraplén de acceso, primeros 100 m2",m2,,,21.27,1
AB14BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de terraplén de acceso, de 101 a 500 m2",m2,,,15.91,1
AB14BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de terraplén de acceso, de 501 a 1000 m2",m2,,,10.66,1
AB14BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de terraplén de acceso, de 1001 a 5000 m2",m2,,,5.30,1
AB15BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de muro de contención, primeros 100 m2",m2,,,105.95,1
AB15BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de muro de contención, de 101 a 500 m2",m2,,,79.63,1
AB15BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de muro de contención, de 501 a 1000 m2",m2,,,53.13,1
AB15BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de muro de contención, de 1001 a 5000 m2",m2,,,26.53,2
AB16BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón abierto, primeros 100 m2",m2,,,127.64,2
AB16BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón abierto, de 101 a 500 m2",m2,,,95.74,2
AB16BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón abierto, de 501 a 1000 m2",m2,,,63.78,2
AB16BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón abierto, de 1001 a 5000 m2",m2,,,31.92,2
AB17BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón cerrado, primeros 100 m2",m2,,,212.38,2
AB17BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón cerrado, de 101 a 500 m2",m2,,,159.17,2
AB17BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón cerrado, de 501 a 1000 m2",m2,,,105.95,2
AB17BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Anteproyecto de cajón cerrado, de 1001 a 5000 m2",m2,,,53.13,2
AC12BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente hiperestático, primeros 100 m2",m2,,,481.17,2
AC12BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente hiperestático, de 101 a 500 m2",m2,,,389.59,2
AC12BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente hiperestático, de 501 a 1000 m2",m2,,,263.22,2
AC12BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente hiperestático, de 1001 a 5000 m2",m2,,,131.59,2
AC12CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, primeros 100 m2",m2,,,421.15,2
AC12CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, de 101 a 500 m2",m2,,,314.26,2
AC12CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, de 501 a 1000 m2",m2,,,210.58,2
AC12CE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, de 1001 a 5000 m2",m2,,,105.29,2
AC14BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de terraplén, primeros 100 m2",m2,,,48.03,3
AC14BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de terraplén, de 101 a 500 m2",m2,,,36.01,3
AC14BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de terraplén, de 501 a 1000 m2",m2,,,24.01,3
AC14BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de terraplén, de 1001 a 5000 m2",m2,,,11.99,3
AC15BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de muro de contención, primeros 100 m2",m2,,,239.45,3
AC15BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de muro de contención, de 101 a 500 m2",m2,,,180.01,3
AC15BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de muro de contención, de 501 a 1000 m2",m2,,,119.40,3
AC15BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de muro de contención, de 1001 a 5000 m2",m2,,,60.07,3
AC16BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón abierto, primeros 100 m2",m2,,,288.84,3
AC16BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón abierto, de 101 a 500 m2",m2,,,217.71,3
AC16BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón abierto, de 501 a 1000 m2",m2,,,143.38,3
AC16BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyectoestructural de cajón abierto, de 1001 a 5000 m2",m2,,,72.19,3
AC17BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón cerrado, primeros 100 m2",m2,,,480.32,3
AC17BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón cerrado, de 101 a 500 m2",m2,,,359.98,3
AC17BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón cerrado, de 501 a 1000 m2",m2,,,239.45,3
AC17BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de cajón cerrado, de 1001 a 5000 m2",m2,,,120.05,3
AC22BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto de la zona transparente de puente hiperestático, primeros 100 m2",m2,,,880.10,3
AC22BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto de la zona transparente de puente hiperestático, de 101 a 200 m2",m2,,,458.41,3
AC22BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto de la zona transparente de puente hiperestático, de 201 a 500 m2",m2,,,231.63,3
AC22BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto de la zona transparente de puente hiperestático, de 501 a 1000 m2",m2,,,115.79,3
AC22CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, primeros 100 m2",m2,,,704.04,3
AC22CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, de 101 a 200 m2",m2,,,352.00,4
